ID,Prediction,Probability
1318,ANTAGONIST,0.2222222222222222
1319,ANTAGONIST,0.29411764705882354
1320,AGONIST,0.5882352941176471
1321,ANTAGONIST,0.5
1322,AGONIST,0.9166666666666666
1323,AGONIST,0.56
1324,AGONIST,0.6470588235294118
1325,AGONIST,0.8
1326,AGONIST,0.75
1327,AGONIST,0.631578947368421
1328,AGONIST,0.8125
1329,AGONIST,0.625
1330,AGONIST,0.6818181818181818
1331,AGONIST,0.75
1332,AGONIST,0.6428571428571429
1333,ANTAGONIST,0.2222222222222222
1334,ANTAGONIST,0.47368421052631576
1335,ANTAGONIST,0.2222222222222222
1336,AGONIST,0.8333333333333334
1337,ANTAGONIST,0.3
1338,AGONIST,0.7894736842105263
1339,ANTAGONIST,0.45
1340,AGONIST,0.7777777777777778
1341,ANTAGONIST,0.42105263157894735
1342,AGONIST,0.6956521739130435
1343,ANTAGONIST,0.2222222222222222
1344,ANTAGONIST,0.18181818181818182
1345,AGONIST,0.6
1346,ANTAGONIST,0.5
1347,AGONIST,0.5384615384615384
1348,ANTAGONIST,0.0
1349,ANTAGONIST,0.3125
1350,AGONIST,0.9166666666666666
1351,AGONIST,0.6666666666666666
1352,ANTAGONIST,0.5
1353,ANTAGONIST,0.5
1354,ANTAGONIST,0.5
1355,AGONIST,1.0
1356,AGONIST,0.6923076923076923
1358,AGONIST,1.0
1359,ANTAGONIST,0.2727272727272727
1360,AGONIST,0.8888888888888888
1361,AGONIST,0.6666666666666666
1362,ANTAGONIST,0.46153846153846156
1363,ANTAGONIST,0.1875
1364,ANTAGONIST,0.15384615384615385
1365,ANTAGONIST,0.3076923076923077
1366,AGONIST,1.0
1367,AGONIST,0.8571428571428571
1368,ANTAGONIST,0.3333333333333333
1370,ANTAGONIST,0.0
1371,ANTAGONIST,0.5
1372,AGONIST,1.0
1373,AGONIST,0.6666666666666666
1374,ANTAGONIST,0.38461538461538464
1375,ANTAGONIST,0.2222222222222222
1376,ANTAGONIST,0.35294117647058826
1377,ANTAGONIST,0.5
1378,ANTAGONIST,0.5
1379,AGONIST,1.0
1380,ANTAGONIST,0.42857142857142855
1381,ANTAGONIST,0.3333333333333333
1382,ANTAGONIST,0.5
1383,AGONIST,0.5833333333333334
1384,AGONIST,0.7142857142857143
1385,AGONIST,0.7894736842105263
1386,AGONIST,0.5333333333333333
1387,AGONIST,0.625
1388,AGONIST,0.6
1389,ANTAGONIST,0.5
1390,ANTAGONIST,0.5
1391,AGONIST,0.5714285714285714
1392,AGONIST,0.625
1393,AGONIST,0.7142857142857143
1394,AGONIST,0.9
1395,AGONIST,0.8181818181818182
1396,AGONIST,0.6666666666666666
1397,ANTAGONIST,0.5
1398,AGONIST,0.7
1399,ANTAGONIST,0.45454545454545453
1400,ANTAGONIST,0.2857142857142857
1401,AGONIST,0.6428571428571429
1402,AGONIST,0.5555555555555556
1403,ANTAGONIST,0.42857142857142855
1404,ANTAGONIST,0.1111111111111111
1405,ANTAGONIST,0.2727272727272727
1406,ANTAGONIST,0.21428571428571427
1407,ANTAGONIST,0.4444444444444444
1408,ANTAGONIST,0.5
1409,ANTAGONIST,0.1111111111111111
1410,AGONIST,0.75
1411,AGONIST,0.6666666666666666
1412,AGONIST,0.7142857142857143
1413,ANTAGONIST,0.42857142857142855
1414,AGONIST,0.75
1415,ANTAGONIST,0.5
1417,AGONIST,0.5384615384615384
1418,AGONIST,0.6666666666666666
1419,AGONIST,0.6153846153846154
1420,ANTAGONIST,0.42857142857142855
1421,AGONIST,1.0
1423,AGONIST,0.7692307692307693
1424,AGONIST,0.7777777777777778
1425,AGONIST,0.9
1426,AGONIST,0.6666666666666666
1427,AGONIST,0.7
1428,AGONIST,0.7142857142857143
1429,AGONIST,0.75
1430,AGONIST,0.5333333333333333
1431,ANTAGONIST,0.5
1432,AGONIST,0.5555555555555556
1433,AGONIST,1.0
1434,ANTAGONIST,0.5
1435,ANTAGONIST,0.5
1436,AGONIST,0.6428571428571429
1437,AGONIST,1.0
1438,AGONIST,0.7
1439,AGONIST,0.7647058823529411
1440,AGONIST,0.7142857142857143
1441,ANTAGONIST,0.5
1442,ANTAGONIST,0.36363636363636365
1443,AGONIST,0.7058823529411765
1444,ANTAGONIST,0.29411764705882354
1445,ANTAGONIST,0.4
1446,AGONIST,0.5294117647058824
1447,AGONIST,0.75
1448,ANTAGONIST,0.4583333333333333
1449,AGONIST,0.7
1450,AGONIST,0.6923076923076923
1451,AGONIST,0.5714285714285714
1452,AGONIST,0.6
1453,ANTAGONIST,0.14285714285714285
1454,ANTAGONIST,0.5
1455,ANTAGONIST,0.42105263157894735
1456,AGONIST,1.0
1457,AGONIST,1.0
1458,ANTAGONIST,0.1111111111111111
1459,ANTAGONIST,0.3157894736842105
1460,AGONIST,0.8
1461,AGONIST,0.7272727272727273
1462,ANTAGONIST,0.36363636363636365
1463,AGONIST,0.6666666666666666
1464,ANTAGONIST,0.47368421052631576
1465,ANTAGONIST,0.4782608695652174
1466,ANTAGONIST,0.2608695652173913
1467,AGONIST,0.6428571428571429
1468,ANTAGONIST,0.5
1469,ANTAGONIST,0.0
1470,AGONIST,0.6842105263157895
1471,ANTAGONIST,0.35294117647058826
1472,ANTAGONIST,0.3333333333333333
1473,AGONIST,1.0
1474,AGONIST,1.0
1475,AGONIST,1.0
1476,AGONIST,1.0
1477,ANTAGONIST,0.2222222222222222
1478,ANTAGONIST,0.42857142857142855
1479,ANTAGONIST,0.3333333333333333
1480,ANTAGONIST,0.2857142857142857
1481,AGONIST,1.0
1482,AGONIST,1.0
1485,AGONIST,1.0
1486,AGONIST,1.0
1487,ANTAGONIST,0.1
1488,AGONIST,1.0
1489,AGONIST,0.6666666666666666
1490,AGONIST,0.7777777777777778
1491,ANTAGONIST,0.0
1492,ANTAGONIST,0.1875
1493,ANTAGONIST,0.35
1494,ANTAGONIST,0.3125
1495,ANTAGONIST,0.46153846153846156
1496,ANTAGONIST,0.47368421052631576
1497,ANTAGONIST,0.1111111111111111
1498,AGONIST,0.6666666666666666
1499,AGONIST,0.6666666666666666
1500,AGONIST,0.8888888888888888
1501,ANTAGONIST,0.5
1502,AGONIST,0.8421052631578947
1503,AGONIST,0.9090909090909091
1504,AGONIST,0.875
1505,AGONIST,1.0
1506,ANTAGONIST,0.29411764705882354
1507,AGONIST,0.875
1508,AGONIST,0.8571428571428571
1509,AGONIST,0.875
1510,ANTAGONIST,0.4117647058823529
1511,AGONIST,0.5555555555555556
1512,AGONIST,0.7777777777777778
1513,AGONIST,0.7
1514,AGONIST,0.7272727272727273
1515,AGONIST,0.6666666666666666
1516,AGONIST,1.0
1517,AGONIST,0.5714285714285714
1518,ANTAGONIST,0.5
1519,AGONIST,0.6666666666666666
1520,AGONIST,0.75
1521,AGONIST,0.6
1522,AGONIST,1.0
1523,AGONIST,1.0
1525,ANTAGONIST,0.45454545454545453
1526,AGONIST,0.7857142857142857
1528,AGONIST,0.5454545454545454
1529,AGONIST,0.6
1530,AGONIST,0.6666666666666666
1531,AGONIST,0.5333333333333333
1532,AGONIST,0.8
1534,AGONIST,0.7142857142857143
1536,ANTAGONIST,0.4
1537,ANTAGONIST,0.5
1538,ANTAGONIST,0.0
1539,AGONIST,0.8
1540,AGONIST,0.75
1541,AGONIST,0.6
1542,ANTAGONIST,0.25
1543,AGONIST,0.5454545454545454
1544,AGONIST,0.6428571428571429
1545,AGONIST,0.6153846153846154
1546,ANTAGONIST,0.4166666666666667
1547,AGONIST,0.6153846153846154
1548,AGONIST,0.6153846153846154
1549,AGONIST,0.5454545454545454
1550,ANTAGONIST,0.4666666666666667
1551,ANTAGONIST,0.36363636363636365
1552,AGONIST,0.8181818181818182
1553,AGONIST,0.5555555555555556
1554,AGONIST,0.8461538461538461
1555,ANTAGONIST,0.2727272727272727
1556,AGONIST,0.6666666666666666
1557,AGONIST,0.7272727272727273
1558,AGONIST,0.8666666666666667
1559,AGONIST,0.9166666666666666
1560,ANTAGONIST,0.45454545454545453
1561,AGONIST,0.5384615384615384
1562,AGONIST,0.5714285714285714
1563,ANTAGONIST,0.5
1564,AGONIST,0.5384615384615384
1565,AGONIST,0.5454545454545454
1566,ANTAGONIST,0.5
1567,AGONIST,0.8
1568,AGONIST,0.5714285714285714
1569,AGONIST,0.6
1570,AGONIST,0.6923076923076923
1571,AGONIST,0.6428571428571429
1572,AGONIST,0.7333333333333333
1573,AGONIST,0.5714285714285714
1574,AGONIST,0.6
1575,AGONIST,0.6666666666666666
1576,ANTAGONIST,0.5
1577,AGONIST,0.9090909090909091
