ID,FILTER
1318,0.21
1319,0.26
1320,0.29
1321,0.15
1322,0.34
1323,0.48
1324,0.30
1325,0.48
1326,0.41
1327,0.43
1328,0.51
1329,0.24
1330,0.30
1331,0.30
1332,0.29
1333,0.13
1334,0.44
1335,0.11
1336,0.39
1337,0.20
1338,0.44
1339,0.23
1340,0.37
1341,0.32
1342,0.48
1343,0.16
1344,0.15
1345,0.13
1346,0.21
1347,0.28
1348,0.13
1349,0.20
1350,0.36
1351,0.20
1352,0.21
1353,0.23
1354,0.17
1355,0.27
1356,0.14
1357,
1358,0.34
1359,0.17
1360,0.36
1361,0.35
1362,0.41
1363,0.22
1364,0.24
1365,0.13
1366,0.53
1367,0.42
1368,0.35
1369,
1370,0.38
1371,0.45
1372,0.49
1373,0.46
1374,0.27
1375,0.26
1376,0.43
1377,0.51
1378,0.37
1379,0.34
1380,0.41
1381,0.16
1382,0.35
1383,0.54
1384,0.45
1385,0.45
1386,0.30
1387,0.51
1388,0.44
1389,0.47
1390,0.30
1391,0.48
1392,0.48
1393,0.36
1394,0.39
1395,0.39
1396,0.36
1397,0.39
1398,0.36
1399,0.21
1400,0.14
1401,0.20
1402,0.23
1403,0.06
1404,0.25
1405,0.24
1406,0.28
1407,0.31
1408,0.30
1409,0.22
1410,0.59
1411,0.38
1412,0.40
1413,0.47
1414,0.42
1415,0.44
1416,
1417,0.54
1418,0.43
1419,0.46
1420,0.58
1421,0.27
1422,
1423,0.46
1424,0.41
1425,0.26
1426,0.44
1427,0.60
1428,0.58
1429,0.61
1430,0.68
1431,0.65
1432,0.68
1433,0.48
1434,0.44
1435,0.54
1436,0.33
1437,0.67
1438,0.65
1439,0.60
1440,0.59
1441,0.60
1442,0.38
1443,0.44
1444,0.42
1445,0.23
1446,0.66
1447,0.56
1448,0.64
1449,0.67
1450,0.62
1451,0.66
1452,0.51
1453,0.31
1454,0.33
1455,0.18
1456,0.19
1457,0.27
1458,0.23
1459,0.24
1460,0.39
1461,0.43
1462,0.47
1463,0.41
1464,0.41
1465,0.42
1466,0.43
1467,0.22
1468,0.30
1469,0.14
1470,0.63
1471,0.57
1472,0.41
1473,0.41
1474,0.46
1475,0.59
1476,0.59
1477,0.28
1478,0.36
1479,0.41
1480,0.42
1481,0.41
1482,0.47
1483,
1484,
1485,0.55
1486,0.51
1487,0.38
1488,0.40
1489,0.37
1490,0.40
1491,0.39
1492,0.38
1493,0.38
1494,0.41
1495,0.44
1496,0.33
1497,0.34
1498,0.32
1499,0.38
1500,0.63
1501,0.52
1502,0.51
1503,0.55
1504,0.57
1505,0.63
1506,0.19
1507,0.56
1508,0.67
1509,0.68
1510,0.30
1511,0.63
1512,0.62
1513,0.61
1514,0.68
1515,0.16
1516,0.14
1517,0.40
1518,0.12
1519,0.43
1520,0.33
1521,0.39
1522,0.17
1523,0.16
1524,
1525,0.64
1526,0.53
1528,0.63
1529,0.63
1530,0.63
1531,0.65
1532,0.64
1534,0.30
1535,
1536,0.35
1537,0.38
1538,0.66
1539,0.51
1540,0.65
1541,0.61
1542,0.63
1543,0.60
1544,0.43
1545,0.56
1546,0.51
1547,0.55
1548,0.51
1549,0.42
1550,0.46
1551,0.48
1552,0.63
1553,0.50
1554,0.66
1555,0.51
1556,0.67
1557,0.53
1558,0.61
1559,0.60
1560,0.45
1561,0.59
1562,0.48
1563,0.41
1564,0.47
1565,0.53
1566,0.47
1567,0.62
1568,0.44
1569,0.64
1570,0.64
1571,0.57
1572,0.52
1573,0.47
1574,0.59
1575,0.65
1576,0.50
1577,0.66
1578,0.51
1579,0.64
1580,0.59
1581,0.41
1582,0.47
1583,0.47
1584,0.44
1585,0.43
1586,0.53
1587,0.39
1588,0.50
1589,0.72
1590,0.61
1591,0.61
1592,0.60
1593,0.49
1594,0.59
1595,0.53
